City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
547,Mattru,SL,75.54,broken clouds,7.62,-11.83,Boima Gbondo's Compound
551,Cartagena Del Chaira,CO,71.96,few clouds,1.33,-74.84,HOTEL LA ROCA
552,Nortelandia,BR,72.19,clear sky,-14.45,-56.8,Hotel Karysmã
557,Trairi,BR,75.29,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
560,Bissau,GW,70.99,clear sky,11.86,-15.6,Pensão Creola
563,Cabinda,AO,77.05,overcast clouds,-5.55,12.2,Cligest - Centro Médico Vida de Cabinda - BNA
566,Bandar-E Lengeh,IR,89.6,broken clouds,26.56,54.88,Maryam beauty salon
567,Khuzdar,PK,88.12,clear sky,27.74,66.64,jhalwan Rent A Car Compny Moola Chotok
568,Road Town,VG,80.01,clear sky,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
569,Tenenkou,ML,89.87,broken clouds,14.46,-4.92,
570,Minna,NG,80.6,few clouds,9.61,6.56,Royal Park hotel & suites
577,Uribia,CO,80.04,clear sky,11.71,-72.27,Hotel Uribia
578,Diamantino,BR,71.65,clear sky,-14.41,-56.45,Hotel Delta
579,Solton,RU,76.06,broken clouds,52.84,86.48,
580,Matara,LK,88.05,overcast clouds,5.95,80.54,Amaloh Boutique Resort
582,Araouane,ML,87.35,overcast clouds,18.9,-3.53,
583,Koulamoutou,GA,71.22,overcast clouds,-1.13,12.47,Motel Biki
585,Santa Helena,BR,73.42,broken clouds,-2.23,-45.3,Turi Plaza Hotel
592,Juba,SS,73.98,overcast clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
594,Alta Floresta,BR,70.86,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
595,Saint-Pierre,RE,71.6,broken clouds,-21.34,55.48,Lindsey Hôtel
602,Barinas,VE,79.54,scattered clouds,8.62,-70.21,Hotel Suites Mastranto
603,Dzaoudzi,YT,82.4,clear sky,-12.79,45.27,Le Rocher
604,Tessalit,ML,83.71,clear sky,20.2,1.01,
