City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
149,Lasa,46.62,10.7,52.0,100,90,17.22,IT,2020-05-11 04:15:37,light rain,0.0,0.0
150,Mumford,5.26,-0.76,75.38,87,100,6.98,GH,2020-05-11 04:15:38,light rain,0.0,0.0
151,Nakuru,-0.28,36.07,58.96,88,82,7.7,KE,2020-05-11 04:15:38,broken clouds,0.0,0.0
152,Inirida,3.87,-67.92,73.8,96,80,2.48,CO,2020-05-11 04:15:38,broken clouds,0.0,0.0
153,Talcahuano,-36.72,-73.12,48.2,100,75,2.24,CL,2020-05-11 04:14:59,mist,0.0,0.0
154,Altay,47.87,88.12,71.33,19,68,5.55,CN,2020-05-11 04:15:38,broken clouds,0.0,0.0
155,Bandarbeyla,9.49,50.81,82.47,73,70,10.16,SO,2020-05-11 04:13:44,broken clouds,0.0,0.0
156,Anloga,5.79,0.9,77.0,94,20,2.24,GH,2020-05-11 04:15:39,few clouds,0.0,0.0
157,Iralaya,15.0,-83.23,81.18,84,100,9.46,HN,2020-05-11 04:15:39,overcast clouds,0.0,0.0
158,Thunder Bay,48.4,-89.32,33.8,40,40,6.93,CA,2020-05-11 04:14:04,scattered clouds,0.0,0.0
159,Port-Gentil,-0.72,8.78,76.69,85,100,6.6,GA,2020-05-11 04:14:16,light rain,0.0,0.0
160,Tipperary,52.47,-8.16,37.0,74,14,4.0,IE,2020-05-11 04:15:39,few clouds,0.0,0.0
161,Lujan,-34.57,-59.1,66.99,72,92,1.01,AR,2020-05-11 04:15:40,overcast clouds,0.0,0.0
162,Otavi,-19.65,17.33,62.13,40,45,10.42,NA,2020-05-11 04:15:40,scattered clouds,0.0,0.0
163,Bani,18.28,-70.33,80.01,78,100,7.58,DO,2020-05-11 04:12:33,overcast clouds,0.0,0.0
164,Kavaratti,10.57,72.64,87.8,70,40,6.93,IN,2020-05-11 04:15:40,scattered clouds,0.0,0.0
165,Kongolo,-5.38,27.0,67.78,95,81,3.22,CD,2020-05-11 04:15:41,broken clouds,0.0,0.0
166,Cidreira,-30.18,-50.21,65.95,71,100,8.34,BR,2020-05-11 04:15:41,overcast clouds,0.0,0.0
167,Bubaque,11.28,-15.83,77.41,72,0,8.39,GW,2020-05-11 04:15:03,clear sky,0.0,0.0
168,Issa,53.87,44.86,48.88,87,6,6.98,RU,2020-05-11 04:15:41,clear sky,0.0,0.0
169,Omboue,-1.57,9.26,73.58,91,100,0.38,GA,2020-05-11 04:14:53,overcast clouds,0.0,0.0
170,Bulawayo,-20.15,28.58,47.61,95,19,7.83,ZW,2020-05-11 04:15:41,few clouds,0.0,0.0
171,Muisne,0.6,-80.03,78.33,86,80,8.88,EC,2020-05-11 04:15:42,broken clouds,0.0,0.0
172,Oksfjord,70.24,22.35,33.8,74,22,18.34,NO,2020-05-11 04:15:42,few clouds,0.0,0.0
173,Giresun,40.5,38.5,48.2,87,30,1.12,TR,2020-05-11 04:15:42,scattered clouds,0.0,0.0
174,Umm Kaddadah,13.6,26.69,77.18,16,9,13.8,SD,2020-05-11 04:15:42,clear sky,0.0,0.0
175,Buraydah,26.33,43.98,77.0,44,99,9.17,SA,2020-05-11 04:15:43,overcast clouds,0.0,0.0
176,Conde,-7.26,-34.91,75.2,94,20,5.82,BR,2020-05-11 04:15:10,few clouds,0.0,0.0
177,Viedma,-40.81,-63.0,55.54,51,0,21.47,AR,2020-05-11 04:15:43,clear sky,0.0,0.0
178,Yar-Sale,66.83,70.83,33.55,99,93,7.56,RU,2020-05-11 04:13:53,overcast clouds,0.0,0.0
179,Nanortalik,60.14,-45.24,43.36,79,70,19.35,GL,2020-05-11 04:15:43,broken clouds,0.0,0.0
180,Ponta Delgada,37.73,-25.67,57.2,58,75,5.82,PT,2020-05-11 04:15:44,broken clouds,0.0,0.0
181,Sisimiut,66.94,-53.67,42.55,67,100,7.49,GL,2020-05-11 04:15:44,overcast clouds,0.0,0.0
182,Tonantins,-2.87,-67.8,71.82,98,52,0.92,BR,2020-05-11 04:11:44,broken clouds,0.0,0.0
183,Robertsport,6.75,-11.37,79.72,86,80,9.42,LR,2020-05-11 04:15:44,light rain,0.0,0.0
184,Mbaiki,3.87,17.99,70.32,99,99,2.3,CF,2020-05-11 04:15:44,light rain,0.0,0.0
185,Thinadhoo,0.53,72.93,85.59,78,26,14.16,MV,2020-05-11 04:11:04,light rain,0.0,0.0
186,Slobodskoy,58.73,50.18,53.71,82,0,6.04,RU,2020-05-11 04:15:45,clear sky,0.0,0.0
187,Grindavik,63.84,-22.43,42.8,87,75,10.29,IS,2020-05-11 04:15:45,shower rain,0.0,0.0
188,Rio Grande,-32.03,-52.1,60.01,83,0,13.65,BR,2020-05-11 04:15:45,clear sky,0.0,0.0
189,Nowy Tomysl,52.32,16.13,59.0,100,68,2.24,PL,2020-05-11 04:15:45,broken clouds,0.0,0.0
190,Natal,-5.79,-35.21,75.2,100,40,4.7,BR,2020-05-11 04:11:03,scattered clouds,0.0,0.0
191,Itagi,-14.16,-40.01,66.02,80,60,2.44,BR,2020-05-11 04:15:46,broken clouds,0.0,0.0
192,Pedernales,18.04,-71.74,79.18,58,82,6.55,DO,2020-05-11 04:15:46,broken clouds,0.0,0.0
193,Porto Velho,-8.76,-63.9,78.8,94,20,1.12,BR,2020-05-11 04:11:32,few clouds,0.0,0.0
194,Beloha,-25.17,45.05,62.64,86,0,9.78,MG,2020-05-11 04:15:47,clear sky,0.0,0.0
195,Cartagena,10.4,-75.51,81.3,86,0,9.46,CO,2020-05-11 04:15:47,clear sky,0.0,0.0
196,Hornepayne,49.21,-84.77,17.58,93,89,10.0,CA,2020-05-11 04:15:47,overcast clouds,0.0,0.0
197,Ferrol,43.48,-8.24,48.2,100,90,4.7,ES,2020-05-11 04:15:48,fog,0.0,0.0
198,Broadstairs,51.36,1.44,46.99,51,64,11.99,GB,2020-05-11 04:15:48,broken clouds,0.0,0.0
199,Andros,37.83,24.93,69.01,43,94,11.01,GR,2020-05-11 04:15:48,overcast clouds,0.0,0.0
200,Morant Bay,17.88,-76.41,82.4,69,20,19.46,JM,2020-05-11 04:15:49,few clouds,0.0,0.0
201,Bathsheba,13.22,-59.52,80.6,78,40,20.8,BB,2020-05-11 04:15:49,scattered clouds,0.0,0.0
202,Zambezi,-13.54,23.1,55.33,89,23,4.61,ZM,2020-05-11 04:15:49,few clouds,0.0,0.0
203,Gazanjyk,39.24,55.52,65.08,69,43,22.19,TM,2020-05-11 04:15:49,scattered clouds,0.0,0.0
204,Port Blair,11.67,92.75,87.3,67,100,10.22,IN,2020-05-11 04:13:28,moderate rain,0.0,0.0
205,Marfino,55.7,37.38,51.01,53,46,4.47,RU,2020-05-11 04:15:50,scattered clouds,0.0,0.0
206,Garoua,9.3,13.4,85.23,59,92,3.65,CM,2020-05-11 04:15:50,overcast clouds,0.0,0.0
207,Tukrah,32.53,20.58,76.41,19,13,24.0,LY,2020-05-11 04:14:48,few clouds,0.0,0.0
208,Huarmey,-10.07,-78.15,67.23,84,69,8.25,PE,2020-05-11 04:15:50,broken clouds,0.0,0.0
209,Codrington,-38.27,141.97,62.13,57,60,10.51,AU,2020-05-11 04:15:51,broken clouds,0.0,0.0
210,Ancud,-41.87,-73.82,48.99,100,75,2.24,CL,2020-05-11 04:14:21,broken clouds,0.0,0.0
211,Klaksvik,62.23,-6.59,33.8,80,89,1.12,FO,2020-05-11 04:15:51,freezing rain,0.0,0.0
212,Puerto Madryn,-42.77,-65.04,52.68,57,18,26.73,AR,2020-05-11 04:12:53,few clouds,0.0,0.0
213,Iracoubo,5.48,-53.2,77.97,90,94,15.46,GF,2020-05-11 04:15:52,heavy intensity rain,0.0,0.0
214,Belyy Yar,53.6,91.39,68.0,37,22,2.24,RU,2020-05-11 04:15:52,few clouds,0.0,0.0
215,Surt,31.21,16.59,81.43,16,78,19.66,LY,2020-05-11 04:15:52,broken clouds,0.0,0.0
216,Galle,6.04,80.22,86.11,68,100,2.39,LK,2020-05-11 04:13:47,overcast clouds,0.0,0.0
217,Wexford,52.33,-6.46,43.0,60,0,4.0,IE,2020-05-11 04:15:53,clear sky,0.0,0.0
218,Chapais,49.78,-74.85,23.0,79,90,18.34,CA,2020-05-11 04:15:53,overcast clouds,0.0,0.0
219,Mayor Pablo Lagerenza,-19.93,-60.77,78.37,64,0,12.03,PY,2020-05-11 04:15:53,clear sky,0.0,0.0
220,Klishkivtsi,48.43,26.26,55.99,64,85,5.01,UA,2020-05-11 04:15:53,overcast clouds,0.0,0.0
221,Marystown,47.17,-55.15,33.24,93,26,17.34,CA,2020-05-11 04:15:53,scattered clouds,0.0,0.0
222,Liwale,-9.77,37.93,65.12,86,63,5.1,TZ,2020-05-11 04:15:54,broken clouds,0.0,0.0
223,Moen,69.13,18.61,32.0,95,75,24.16,NO,2020-05-11 04:15:54,shower rain,0.0,0.0
224,Guarapari,-20.67,-40.5,66.0,93,66,2.24,BR,2020-05-11 04:15:54,broken clouds,0.0,0.0
